doy,year,hour,tempS,sensorZ,sensInfo,sensorLoc,site
185,2016,1.5,1.4,20,tempS.5TM,mineral,hd
185,2016,2,1.4,20,tempS.5TM,mineral,hd
185,2016,2.5,1.3,20,tempS.5TM,mineral,hd
185,2016,3,1.3,20,tempS.5TM,mineral,hd
185,2016,3.5,1.3,20,tempS.5TM,mineral,hd
185,2016,4,1.3,20,tempS.5TM,mineral,hd
185,2016,4.5,1.2,20,tempS.5TM,mineral,hd
185,2016,5,1.2,20,tempS.5TM,mineral,hd
185,2016,5.5,1.2,20,tempS.5TM,mineral,hd
185,2016,6,1.2,20,tempS.5TM,mineral,hd
185,2016,6.5,1.1,20,tempS.5TM,mineral,hd
185,2016,7,1.1,20,tempS.5TM,mineral,hd
185,2016,7.5,1.1,20,tempS.5TM,mineral,hd
185,2016,8,1.1,20,tempS.5TM,mineral,hd
185,2016,8.5,1.1,20,tempS.5TM,mineral,hd
185,2016,9,1.1,20,tempS.5TM,mineral,hd
185,2016,9.5,1.1,20,tempS.5TM,mineral,hd
185,2016,10,1.1,20,tempS.5TM,mineral,hd
185,2016,10.5,1.1,20,tempS.5TM,mineral,hd
185,2016,11,1.1,20,tempS.5TM,mineral,hd
185,2016,11.5,1.1,20,tempS.5TM,mineral,hd
185,2016,12,1.1,20,tempS.5TM,mineral,hd
185,2016,12.5,1.1,20,tempS.5TM,mineral,hd
185,2016,13,1.2,20,tempS.5TM,mineral,hd
185,2016,13.5,1.2,20,tempS.5TM,mineral,hd
185,2016,14,1.3,20,tempS.5TM,mineral,hd
185,2016,14.5,1.3,20,tempS.5TM,mineral,hd
185,2016,15,1.3,20,tempS.5TM,mineral,hd
185,2016,15.5,1.4,20,tempS.5TM,mineral,hd
185,2016,16,1.4,20,tempS.5TM,mineral,hd
185,2016,16.5,1.4,20,tempS.5TM,mineral,hd
185,2016,17,1.4,20,tempS.5TM,mineral,hd
185,2016,17.5,1.4,20,tempS.5TM,mineral,hd
185,2016,18,1.4,20,tempS.5TM,mineral,hd
185,2016,18.5,1.4,20,tempS.5TM,mineral,hd
185,2016,19,1.4,20,tempS.5TM,mineral,hd
185,2016,19.5,1.4,20,tempS.5TM,mineral,hd
185,2016,20,1.4,20,tempS.5TM,mineral,hd
185,2016,20.5,1.4,20,tempS.5TM,mineral,hd
185,2016,21,1.4,20,tempS.5TM,mineral,hd
185,2016,21.5,1.4,20,tempS.5TM,mineral,hd
185,2016,22,1.3,20,tempS.5TM,mineral,hd
185,2016,22.5,1.3,20,tempS.5TM,mineral,hd
185,2016,23,1.3,20,tempS.5TM,mineral,hd
185,2016,23.5,1.3,20,tempS.5TM,mineral,hd
186,2016,0,1.3,20,tempS.5TM,mineral,hd
186,2016,0.5,1.3,20,tempS.5TM,mineral,hd
186,2016,1,1.2,20,tempS.5TM,mineral,hd
186,2016,1.5,1.2,20,tempS.5TM,mineral,hd
186,2016,2,1.2,20,tempS.5TM,mineral,hd
186,2016,2.5,1.1,20,tempS.5TM,mineral,hd
186,2016,3,1.1,20,tempS.5TM,mineral,hd
186,2016,3.5,1.1,20,tempS.5TM,mineral,hd
186,2016,4,1.1,20,tempS.5TM,mineral,hd
186,2016,4.5,1.1,20,tempS.5TM,mineral,hd
186,2016,5,1,20,tempS.5TM,mineral,hd
186,2016,5.5,1,20,tempS.5TM,mineral,hd
186,2016,6,1,20,tempS.5TM,mineral,hd
186,2016,6.5,1,20,tempS.5TM,mineral,hd
186,2016,7,1,20,tempS.5TM,mineral,hd
186,2016,7.5,1,20,tempS.5TM,mineral,hd
186,2016,8,1,20,tempS.5TM,mineral,hd
186,2016,8.5,0.9,20,tempS.5TM,mineral,hd
186,2016,9,0.9,20,tempS.5TM,mineral,hd
186,2016,9.5,0.9,20,tempS.5TM,mineral,hd
186,2016,10,1,20,tempS.5TM,mineral,hd
186,2016,10.5,1,20,tempS.5TM,mineral,hd
186,2016,11,1,20,tempS.5TM,mineral,hd
186,2016,11.5,1,20,tempS.5TM,mineral,hd
186,2016,12,1,20,tempS.5TM,mineral,hd
186,2016,12.5,1.1,20,tempS.5TM,mineral,hd
186,2016,13,1.1,20,tempS.5TM,mineral,hd
186,2016,13.5,1.1,20,tempS.5TM,mineral,hd
186,2016,14,1.2,20,tempS.5TM,mineral,hd
186,2016,14.5,1.2,20,tempS.5TM,mineral,hd
186,2016,15,1.2,20,tempS.5TM,mineral,hd
186,2016,15.5,1.3,20,tempS.5TM,mineral,hd
186,2016,16,1.3,20,tempS.5TM,mineral,hd
186,2016,16.5,1.4,20,tempS.5TM,mineral,hd
186,2016,17,1.4,20,tempS.5TM,mineral,hd
186,2016,17.5,1.4,20,tempS.5TM,mineral,hd
186,2016,18,1.4,20,tempS.5TM,mineral,hd
186,2016,18.5,1.4,20,tempS.5TM,mineral,hd
186,2016,19,1.4,20,tempS.5TM,mineral,hd
186,2016,19.5,1.4,20,tempS.5TM,mineral,hd
186,2016,20,1.4,20,tempS.5TM,mineral,hd
186,2016,20.5,1.4,20,tempS.5TM,mineral,hd
186,2016,21,1.4,20,tempS.5TM,mineral,hd
186,2016,21.5,1.4,20,tempS.5TM,mineral,hd
186,2016,22,1.4,20,tempS.5TM,mineral,hd
186,2016,22.5,1.4,20,tempS.5TM,mineral,hd
186,2016,23,1.4,20,tempS.5TM,mineral,hd
186,2016,23.5,1.3,20,tempS.5TM,mineral,hd
187,2016,0,1.3,20,tempS.5TM,mineral,hd
187,2016,0.5,1.3,20,tempS.5TM,mineral,hd
187,2016,1,1.2,20,tempS.5TM,mineral,hd
187,2016,1.5,1.2,20,tempS.5TM,mineral,hd
187,2016,2,1.2,20,tempS.5TM,mineral,hd
187,2016,2.5,1.2,20,tempS.5TM,mineral,hd
187,2016,3,1.1,20,tempS.5TM,mineral,hd
187,2016,3.5,1.1,20,tempS.5TM,mineral,hd
187,2016,4,1.1,20,tempS.5TM,mineral,hd
187,2016,4.5,1,20,tempS.5TM,mineral,hd
187,2016,5,1,20,tempS.5TM,mineral,hd
187,2016,5.5,1,20,tempS.5TM,mineral,hd
187,2016,6,1,20,tempS.5TM,mineral,hd
187,2016,6.5,0.9,20,tempS.5TM,mineral,hd
187,2016,7,0.9,20,tempS.5TM,mineral,hd
187,2016,7.5,0.9,20,tempS.5TM,mineral,hd
187,2016,8,0.9,20,tempS.5TM,mineral,hd
187,2016,8.5,0.9,20,tempS.5TM,mineral,hd
187,2016,9,0.9,20,tempS.5TM,mineral,hd
187,2016,9.5,0.9,20,tempS.5TM,mineral,hd
187,2016,10,1,20,tempS.5TM,mineral,hd
187,2016,10.5,1,20,tempS.5TM,mineral,hd
187,2016,11,1,20,tempS.5TM,mineral,hd
187,2016,11.5,1.1,20,tempS.5TM,mineral,hd
187,2016,12,1.1,20,tempS.5TM,mineral,hd
187,2016,12.5,1.2,20,tempS.5TM,mineral,hd
187,2016,13,1.2,20,tempS.5TM,mineral,hd
187,2016,13.5,1.3,20,tempS.5TM,mineral,hd
187,2016,14,1.3,20,tempS.5TM,mineral,hd
187,2016,14.5,1.4,20,tempS.5TM,mineral,hd
187,2016,15,1.4,20,tempS.5TM,mineral,hd
187,2016,15.5,1.5,20,tempS.5TM,mineral,hd
187,2016,16,1.6,20,tempS.5TM,mineral,hd
187,2016,16.5,1.6,20,tempS.5TM,mineral,hd
187,2016,17,1.6,20,tempS.5TM,mineral,hd
187,2016,17.5,1.7,20,tempS.5TM,mineral,hd
187,2016,18,1.7,20,tempS.5TM,mineral,hd
187,2016,18.5,1.8,20,tempS.5TM,mineral,hd
187,2016,19,1.8,20,tempS.5TM,mineral,hd
187,2016,19.5,1.8,20,tempS.5TM,mineral,hd
187,2016,20,1.8,20,tempS.5TM,mineral,hd
187,2016,20.5,1.8,20,tempS.5TM,mineral,hd
187,2016,21,1.8,20,tempS.5TM,mineral,hd
187,2016,21.5,1.8,20,tempS.5TM,mineral,hd
187,2016,22,1.8,20,tempS.5TM,mineral,hd
187,2016,22.5,1.8,20,tempS.5TM,mineral,hd
187,2016,23,1.8,20,tempS.5TM,mineral,hd
187,2016,23.5,1.8,20,tempS.5TM,mineral,hd
188,2016,0,1.8,20,tempS.5TM,mineral,hd
188,2016,0.5,1.8,20,tempS.5TM,mineral,hd
188,2016,1,1.8,20,tempS.5TM,mineral,hd
188,2016,1.5,1.7,20,tempS.5TM,mineral,hd
188,2016,2,1.8,20,tempS.5TM,mineral,hd
188,2016,2.5,1.7,20,tempS.5TM,mineral,hd
188,2016,3,1.7,20,tempS.5TM,mineral,hd
188,2016,3.5,1.7,20,tempS.5TM,mineral,hd
188,2016,4,1.7,20,tempS.5TM,mineral,hd
188,2016,4.5,1.7,20,tempS.5TM,mineral,hd
188,2016,5,1.7,20,tempS.5TM,mineral,hd
188,2016,5.5,1.7,20,tempS.5TM,mineral,hd
188,2016,6,1.7,20,tempS.5TM,mineral,hd
188,2016,6.5,1.7,20,tempS.5TM,mineral,hd
188,2016,7,1.6,20,tempS.5TM,mineral,hd
188,2016,7.5,1.7,20,tempS.5TM,mineral,hd
188,2016,8,1.7,20,tempS.5TM,mineral,hd
188,2016,8.5,1.7,20,tempS.5TM,mineral,hd
188,2016,9,1.7,20,tempS.5TM,mineral,hd
188,2016,9.5,1.7,20,tempS.5TM,mineral,hd
188,2016,10,1.7,20,tempS.5TM,mineral,hd
188,2016,10.5,1.7,20,tempS.5TM,mineral,hd
188,2016,11,1.8,20,tempS.5TM,mineral,hd
188,2016,11.5,1.8,20,tempS.5TM,mineral,hd
188,2016,12,1.8,20,tempS.5TM,mineral,hd
188,2016,12.5,1.8,20,tempS.5TM,mineral,hd
188,2016,13,1.8,20,tempS.5TM,mineral,hd
188,2016,13.5,1.8,20,tempS.5TM,mineral,hd
188,2016,14,1.8,20,tempS.5TM,mineral,hd
